Titulo,Sinopsis,Año,Duracion,Url
Brothers,"Un joven debe reconfortar a la esposa e hijos de su hermano, quien ha desaparecido en Afganistán.",2009,104 MIN,https://www.starz.com/ar/es/movies/brothers-49849
El sorprendente Hombre-Araña 2 - La amenaza de Electro,"Ser el Hombre Araña (Andrew Garfield) es genial. Para Peter Parker, no hay mejor sensación que columpiarse entre rascacielos, ser el héroe y pasar el tiempo con Gwen (Emma Stone).",2014,141 MIN,https://www.starz.com/ar/es/movies/el-sorprendente-hombre-ara%C3%B1a-2-la-amenaza-de-electro-50064
Infiel,"En el emocionante y excitante filme de suspenso de Tyler Perry, una fiel esposa (Taraji, P. Henson) sobrepasa los límites cuando queda claro que su deshonesto esposo la ha traicionado.",2018,120 MIN,https://www.starz.com/ar/es/movies/infiel-51991
John Wick 2: Un nuevo día para matar,"En esta secuela del éxito de 2014, el legendario asesino John Wick (Keanu Reeves) se ve obligado a salir del retiro por un ex-asociado que planea obtener el control de un misterioso grupo internacional de asesinos. Obligado a ayudarlo por un juramento de sangre, John emprende un viaje a Roma lleno de adrenalina estremecedora para pelear contra los asesinos más peligrosos del mundo.",2017,122 MIN,https://www.starz.com/ar/es/movies/john-wick-2-un-nuevo-d%C3%ADa-para-matar-61327
Crímenes ocultos,Un agente soviético caído en desgracia descubre una conexión entre una serie de asesinatos infantiles y el líder de un partido. Those who seek the truth will be silenced. Basada en una novela de Tom Rob Smith.,2015,137 MIN,https://www.starz.com/ar/es/movies/cr%C3%ADmenes-ocultos-59236
Maria Antonieta La Reina Adolescente,"La historia de Marie-Antoinette, una ingenua austriaca de 14 años que se casó con Luís XVI sin estar preparada para los problemas políticos de ser la Reina de Francia durante la Revolución Francesa.",2006,122 MIN,https://www.starz.com/ar/es/movies/maria-antonieta-la-reina-adolescente-14139
La princesa prometida,"La historia es la clásica historia de amor y aventura como la bella Buttercup es secuestrada y retenida contra su voluntad en orden a casarse con el odioso Príncipe Humperdinck, y Westley (su amor de la infancia, quien ahora devuelve como Dread Pirate Roberts), que intenta salvarla.",1987,98 MIN,https://www.starz.com/ar/es/movies/la-princesa-prometida-47013
Venganza letal,"Un expresidiario tiene un único deseo: vengar el asesinato de su hermano, cometido durante un robo a un banco.",2010,97 MIN,https://www.starz.com/ar/es/movies/venganza-letal-63738
Elizabeth: La edad de oro,"Cate Blanchett y Geoffrey Rush protagonizan esta emocionante historia de la lucha de una mujer para controlar el amor, aplastar a sus enemigos y consolidarse en el trono de Inglaterra.",2007,114 MIN,https://www.starz.com/ar/es/movies/elizabeth-la-edad-de-oro-65816
Empire State el gran robo del Bronx,"Un guardia de seguridad es convencido por su imprudente mejor amigo de robar la compañía para la cual trabaja, junto a una violenta banda criminal y un duro detective en su camino...¿Podrán escaparse de la cárcel o de un destino peor?",2013,94 MIN,https://www.starz.com/ar/es/movies/empire-state-el-gran-robo-del-bronx-30698
Se Dice De Mi,"Cuando se descubre su mentirita blanca de que perdió la virginidad, una chica simple de la secundaria (Emma Stone) ve un paralelo con su vida en ""La letra escarlata"" de Hester Prynne, que está estudiando en la escuela, hasta que decide utilizar la usina de rumores para avanzar en su posición social y financiera.",2010,92 MIN,https://www.starz.com/ar/es/movies/se-dice-de-mi-39601
Malas Enseñanzas,"Una malhablada maestra de séptimo grado, abandonada por su novio adinerado, empieza a perseguir a un colega, lo que causa conflictos con el modelo de enseñanza de la escuela.",2011,91 MIN,https://www.starz.com/ar/es/movies/malas-ense%C3%B1anzas-45158
De Tyler Perry: ¿Por qué nos casamos?,"Un grupo de amigos universitarios casados van a Colorado para su reunión anual de una semana. Superficialmente, parece que será como todas las reuniones anteriores que han tenido a lo largo de los años, pero el ánimo cambia cuando la infidelidad de una pareja sale a la luz.",2007,118 MIN,https://www.starz.com/ar/es/movies/de-tyler-perry-por-qu%C3%A9-nos-casamos-50107
Red 2,"El ex agente de la CIA Frank Moses y su equipo de desafortunados héroes regresan para otra misión arriesgada, esta vez con la tarea de encontrar un arma nuclear peligrosa.",2013,115 MIN,https://www.starz.com/ar/es/movies/red-2-50631
Escondida,Una detective de Boston investiga los cuerpos momificados de seis mujeres.,2011,88 MIN,https://www.starz.com/ar/es/movies/escondida-51619
Más fuerte que el destino,"Más Fuerte que el Destino está inspirada en la historia de Jeff Bauman, un hombre ordinario quien capturó los corazones del mundo, para convertirse en un símbolo de esperanza, después de la infame explosión de bomba del Maratón de Boston del 2013.",2017,118 MIN,https://www.starz.com/ar/es/movies/m%C3%A1s-fuerte-que-el-destino-62674
El Justiciero,Un ex-comando sale del retiro y pone sus habilidades especiales a trabajar para rescatar a una chica que está bajo el control de unos criminales rusos. What do you see when you look at me? Basada en la serie de televisión.,2014,131 MIN,https://www.starz.com/ar/es/movies/el-justiciero-22163
La última puerta,Johnny Depp es contratado por un fiel satánico que se hace pasar por un erudito de la demonología para localizar dos escasos volúmenes de una invocación satánica.,1999,133 MIN,https://www.starz.com/ar/es/movies/la-%C3%BAltima-puerta-42904
Como si fuera la primera vez,Un veterinario intenta reiteradamente que una mujer que tiene problemas con su memoria se enamore nuevamente de él.,2004,99 MIN,https://www.starz.com/ar/es/movies/como-si-fuera-la-primera-vez-48991
Cartas a Julieta,"Mientras está de vacaciones en Verona, Sophie se encuentra con una ""carta a Julieta"" y se embarca en una misión para encontrar a su autor.",2010,105 MIN,https://www.starz.com/ar/es/movies/cartas-a-julieta-50199
De Tyler Perry: El club de las madres solteras,"Cinco madres solteras en problemas dejan de lado sus diferencias para formar un grupo de apoyo, hallan inspiración y humor en su nueva hermandad y se ayudan mutuamente para superar los obstáculos que enfrentan.",2014,111 MIN,https://www.starz.com/ar/es/movies/de-tyler-perry-el-club-de-las-madres-solteras-51328
Si no despierto,"Samantha Kingston (Zoey Deutch), una preparatoriana a punto de graduarse, que lo tiene todo. El 12 de Febrero es sólo otro venturoso día en la vida de Sam hasta que se ve atascada reviviéndolo inexplicablemente durante una semana.",2017,98 MIN,https://www.starz.com/ar/es/movies/si-no-despierto-51601
Hellraiser: Juicio,Tres detectives intentan resolver un asesinato diabólico que los arrastra a las profundidades del infierno en esta próxima edición de la clásica serie HELLRAISER.,2018,81 MIN,https://www.starz.com/ar/es/movies/hellraiser-juicio-62668
La Cumbre Escarlata,"Cuando un extraño seductor le roba el corazón, una joven mujer se deja llevar hasta una casa en la cima de una montaña de arcilla color rojo sangre, un lugar lleno de secretos que la perseguirán por siempre.",2015,118 MIN,https://www.starz.com/ar/es/movies/la-cumbre-escarlata-65822
Dulce venganza,"Este remake del clásico de 1978 del mismo nombre, cuenta la historia de una mujer que es brutalmente violada y asaltada por cuatro hombres, sobrevive, y toma la ley en sus propias manos buscando venganza contra sus atacantes.",2010,108 MIN,https://www.starz.com/ar/es/movies/dulce-venganza-9303
