Titulo,Sinopsis,Año,Duracion,Url
The Great,"The Great es un drama cómico y satírico, ocasionalmente basado en hechos históricos, sobre cómo Catalina la Grande pasó de ser una forastera a la gobernante mujer con el reinado más largo de la historia de Rusia. Una historia muy moderna sobre el pasado.",2020 - 2021,20 EPISODIOS,https://www.starz.com/ar/es/series/the-great/57979
The Act,"De los escritores Nick Antosca (""Channel Zero"") y Michelle Dean llega ""The Act"", una serie psicológica y antológica de crímenes reales que cuenta las insólitas historias detrás de actos criminales verdaderos.",2019,8 EPISODIOS,https://www.starz.com/ar/es/series/the-act/46154
Power Book IV: Force,"Tommy Egan corta todos los lazos y pone a Nueva York en su espejo retrovisor para siempre cuando llega a Chicago, proponiendo convertirse en el mayor traficante de drogas que la Segunda Ciudad haya visto.",2021 - 2022,2 EPISODIOS,https://www.starz.com/ar/es/series/power-book-iv-force/62261
The Borgias,"Sexo. Poder. Asesinato. Amén. Jeremy Irons, ganador del Oscar®, protagoniza esta nueva y épica serie original de Showtime, The Borgias, la historia explosiva de la primera gran familia del crimen de la historia.",2011 - 2013,29 EPISODIOS,https://www.starz.com/ar/es/series/the-borgias/61183
The Spanish Princess,"""The Spanish Princess"" es la vívida y cautivante narración de la historia de Catalina de Aragón, que ha sido históricamente eclipsada por su infame matrimonio con el rey Enrique VIII.",2019 - 2020,17 EPISODIOS,https://www.starz.com/ar/es/series/the-spanish-princess/42457
Reign,"La historia comienza en el año 1557 cuando Mary, Reina de Escocia, tiene que partir del convento en el que vivía hacia Francia, para contraer matrimonio con el Príncipe Francis II de Francia y así sellar una alianza entre los dos países.",2013 - 2017,78 EPISODIOS,https://www.starz.com/ar/es/series/reign/63571
Express,"Bárbara Vázquez, brillante psicóloga criminal, presenta su renuncia en la Policía y comienza a trabajar en Zentral Risk, una aseguradora cuyo producto estrella es una póliza con cobertura anti-secuestros. Su meta es erradicar este tipo de delitos.",2021 - 2022,5 EPISODIOS,https://www.starz.com/ar/es/series/express/63120
Power Book II: Ghost,"""El Fantasma"" sigue a Tariq malabareando sus operaciones de drogas, calificaciones, vida amorosa y familia. Para evitar el destino de su padre, debe convertirse en él, pero siendo mejor.",2020 - 2022,23 EPISODIOS,https://www.starz.com/ar/es/series/power-book-ii-ghost/58002
The White Princess,“The White Princess” representa una turbulenta época de la historia británica desde la visión de las mujeres que encarnan una dura batalla por el poder.,2017,8 EPISODIOS,https://www.starz.com/ar/es/series/the-white-princess/30887
Señorita 89,"Diferentes candidatas llegan a la finca La Encantada para convertirse en Señorita México. Cada aspirante trae consigo su propio pasado, así como la ilusión de ser la ganadora. En el camino descubrirán los oscuros secretos que hay para conseguir la corona.",2022,1 EPISODIOS,https://www.starz.com/ar/es/series/se%C3%B1orita-89/66233
The Stand,"The Stand es la visión apocalíptica de Stephen King de un mundo asolado por una plaga y envuelto en una lucha básica entre el bien y el mal. El destino de la humanidad descansa en los frágiles hombros de la Madre Abagail, de 108 años, y algunos sobrevivientes. Sus peores pesadillas se encarnan en un hombre con una sonrisa letal y poderes atroces: Randall Flagg, el Hombre Oscuro.",2020 - 2021,10 EPISODIOS,https://www.starz.com/ar/es/series/the-stand/61994
Normal People,"Desde la escuela a la universidad, Normal People sigue a Connell y Marianne mientras entretejen sus vidas en un programa que explora lo complicado que puede ser el amor joven.",2020,13 EPISODIOS,https://www.starz.com/ar/es/series/normal-people/60083
Baptiste,"El impredecible detective, Julien Baptiste, quien está de vacaciones con su esposa en Ámsterdam, apoya a su exnovia, la Jefa de Policía de Ámsterdam, en una investigación.",2019 - 2021,13 EPISODIOS,https://www.starz.com/ar/es/series/baptiste/45713
Power Book III: Raising Kanan,"Situada al Sur de Jamaica, en Queens, en 1991, ""Raising Kanan"" es una precuela de la franquicia original ""Power"". Este drama familiar trata del cambio de edad de Kanan Stark, un distribuidor de cocaína con una red de vendedores en la Ciudad de Nueva York.",2021,10 EPISODIOS,https://www.starz.com/ar/es/series/power-book-iii-raising-kanan/58458
Dr. Death,"Basada en el exitoso podcast de Wondery, Dr. Death cuanta la impactante historia verdadera del Dr. Christopher Duntsch (Joshua Jackson), un joven neurocirujano aparentemente brillante con un consultorio médico próspero. Pero no todo es lo que parece.",2021,9 EPISODIOS,https://www.starz.com/ar/es/series/dr-death/61268
The White Queen,"""The White Queen"" es una fascinante historia de amor y deseo, traición y asesinatos, en donde se tejen vibrantemente las historias de tres mujeres diferentes pero igualmente perseverantes: Isabel Woodwille, Margarita Beaufort y Anna Neville. En la búsqueda por el poder, conspirarán, manipularán y seducirán en el camino para llegar al trono de Inglaterra.",2013,10 EPISODIOS,https://www.starz.com/ar/es/series/the-white-queen/18124
Power,"El productor ejecutivo Curtis “50 Cent” Jackson presenta ""Power,"" un drama criminal sobre el dueño de un club nocturno quien también es el capo de un lucrativo imperio de drogas.",2014 - 2021,66 EPISODIOS,https://www.starz.com/ar/es/series/power/21220
The Royals,"The Royals sigue las vidas de una familia real británica ficticia que vive un mundo de opulencia, lujuria, escándalo sexual y tradición regia: un mundo que también trae consigo un costo de responsabilidades, destino e intensa opinión pública.",2015 - 2018,40 EPISODIOS,https://www.starz.com/ar/es/series/the-royals/45706
MotherFatherSon,"Max posee uno de los imperios mediáticos más influyentes del mundo. La información es su oficio: tiene secretos oscuros para todos y usa su poder despiadadamente, incluso en su propia familia.",2019,8 EPISODIOS,https://www.starz.com/ar/es/series/motherfatherson/44758
Castle Rock,"""Castle Rock"" lleva a los espectadores al escalofriante mundo del exitoso y aclamado Stephen King en esta serie de terror psicológico.",2018 - 2020,21 EPISODIOS,https://www.starz.com/ar/es/series/castle-rock/45522
Howards End,"""Howards End"" es la historia de dos hermanas independientes, poco convencionales y los hombres en sus vidas; buscan significado y amor mientras navegan en un mundo que cambia constantemente.",2018,4 EPISODIOS,https://www.starz.com/ar/es/series/howards-end/37269
Das Boot,"En 1942, en la Francia ocupada, el U-612 está listo para su primer viaje, dirigiéndose a la guerra que es cada vez más violenta, con su joven tripulación y su nuevo capitán, Klaus Hoffman.",2018 - 2020,16 EPISODIOS,https://www.starz.com/ar/es/series/das-boot/45955
The Capture,"Del productor ejecutivo de éxitos David Heyman y NBCUniversal International Studios llega ""La captura"", un oportuno thriller que explora cuestiones urgentes acerca de la vigilancia y la desinformación.",2019,6 EPISODIOS,https://www.starz.com/ar/es/series/the-capture/57770
MalaYerba,"Cuando el cannabis medicinal es legalizado en Colombia, tres jóvenes emprendedores rápidamente se abren paso en el codiciado mercado.",2021,11 EPISODIOS,https://www.starz.com/ar/es/series/malayerba/64882
Spartacus,"Traicionado por Romanos. Forzado a la esclavitud. Renacido como Gladiador. Apartado de su patria y su mujer, Spartacus es condenado al mundo de la arena donde la sangre y la muerte reinan.",2010 - 2013,39 EPISODIOS,https://www.starz.com/ar/es/series/spartacus/5972
Black Sails,"La aventura pirata ""Black Sails"", se centra en las historias del capitán Flint y su notoria tripulación mientras luchan por la fortuna y la supervivencia antes de los eventos descritos en el libro ""La isla del tesoro"".",2014 - 2017,38 EPISODIOS,https://www.starz.com/ar/es/series/black-sails/19568
BMF,"""BMF"" sigue la historia de dos hermanos que crearon la ""Black Mafia Family"", la red de distribución de drogas más promienente en la historia Americana.",2021,9 EPISODIOS,https://www.starz.com/ar/es/series/bmf/62264
Dr. Death: The Undoctored Story,"""Dr. Death: The Undoctored Story"" es la primera docuserie sobre el Dr. Christopher Duntsch, el notorio neurocirujano, cuya historia impactante ha cautivado al mundo.",2021,5 EPISODIOS,https://www.starz.com/ar/es/series/dr-death-the-undoctored-story/65195
The Name of the Rose,"En 1327, un brillante monje franciscano ingés, Guillermo de Baskerville, es enviado por el Santo Imperio Romano a un monasterio aislado al norte de Italia para un dramático y decisivo encuentro.",2019,8 EPISODIOS,https://www.starz.com/ar/es/series/the-name-of-the-rose/45429
Instinto Animal,"Este drama sobre una familia criminal sigue a un adolescente quien, luego de la muerte de su madre, se muda con sus parientes independientes a un balneario del sur de California. Atraído por la vida de excesos que llevan, pronto descubre que esta está financiada por actividades criminales y que unirse a la familia viene con más peligro de lo que podría estar listo para manejar.",2016 - 2019,49 EPISODIOS,https://www.starz.com/ar/es/series/instinto-animal/56898
Shining Vale,Prepárate para Shining Vale. Estreno de la serie el 6 de marzo.,2022,1 EPISODIOS,https://www.starz.com/ar/es/series/shining-vale/64078
The Girlfriend Experience,"""The Girlfriend Experience"" es la reinvención de la aclamada película en 2009 del mismo nombre de Steven Soderbergh y explora las relaciones entre acompañantes exclusivas y sus clientes, para quienes proveen de mucho más cosas que solo sexo. Conocidas como acompañantes, son mujeres que proveen ""La Experiencia de una Amiga""—relaciones a un precio muy alto.",2016 - 2021,38 EPISODIOS,https://www.starz.com/ar/es/series/the-girlfriend-experience/25586
Sweetbitter,"Tess empieza a trabajar en uno de los restaurantes más elegantes de Nueva York, pensando en que sería un trabajo temporal, pero pronto se vio imbuida en al ambiente de sus colegas, la vida nocturna, y el ritmo rápido del estilo de vida de la ciudad.",2018 - 2019,14 EPISODIOS,https://www.starz.com/ar/es/series/sweetbitter/37699
The Rook,"Cuando una mujer despierta rodeada de cadáveres sin ningún recuerdo, debe revelar su misterioso pasado para conocer la verdad.",2019,8 EPISODIOS,https://www.starz.com/ar/es/series/the-rook/44140
Dublin Murders,"“Dublin Murders” es una serie de misterio de ocho episodios con una trama que se adentra profundamente en el pasado de Irlanda, presagia su presente y brinda una percepción de su futuro.",2019,9 EPISODIOS,https://www.starz.com/ar/es/series/dublin-murders/45426
Sr. Mercedes,Un asesino serial demente se burla de un policía retirado con una serie de cartas y correos electrónicos espeluznantes.,2017 - 2019,30 EPISODIOS,https://www.starz.com/ar/es/series/sr-mercedes/45919
Gangs of London,"Tras el asesinato del líder de una banda criminal, el vacío de poder amenaza la frágil paz entre la compleja red de pandillas que operan en las calles de Londres.",2020,10 EPISODIOS,https://www.starz.com/ar/es/series/gangs-of-london/60530
Little Birds,Una Adaptación de la infame conlección de cuentos eróticos de Anais Nin.,2021,6 EPISODIOS,https://www.starz.com/ar/es/series/little-birds/62168
Vida,"""Vida"" es una serie de media hora que se enfoca en dos hermanas mexico-americanas de lado Este de Los Ángeles que no podrían ser más diferentes ni estar más distanciadas entre sí. Las circunstancias las obligan a volver a su antiguo barrio en donde son confrontadas por su pasado y por la insospechada verdad sobre la identidad de su madre.",2018 - 2020,23 EPISODIOS,https://www.starz.com/ar/es/series/vida/37707
Now Apocalypse,"“Now Apocalypse” se centra en Ulysses y sus amigos, en su búsqueda de amor, sexo y fama mientras intentan navegar la ciudad de Los Ángeles. Los sueños de Ulysses le hacen preguntarse si no existe una especie de conspiración oscura.",2019,10 EPISODIOS,https://www.starz.com/ar/es/series/now-apocalypse/43571
Los Miserables,"En el contexto épico de Francia en una época de disturbios civiles, ""Les Misérables"" es la historia de Jean Valjean, un ex convicto incapaz de escapar de la sombra de su vida pasada.",2019,8 EPISODIOS,https://www.starz.com/ar/es/series/los-miserables/46038
